,mesa,CONSENSO FEDERAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FRENTE DE TODOS,FRENTE NOS,JUNTOS POR EL CAMBIO,CONSENSO FEDERAL cant,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD cant,FRENTE DE TODOS cant,FRENTE NOS cant,JUNTOS POR EL CAMBIO cant,localidad,school,pmale,pfemale,18-25,25-35,35-45,45-55,55-65,65-75,>75,18-25_m,25-35_m,35-45_m,45-55_m,55-65_m,65-75_m,>75_m,18-25_f,25-35_f,35-45_f,45-55_f,55-65_f,65-75_f,>75_f
0,1,0.02247191011235955,0.026217228464419477,0.5617977528089888,0.026217228464419477,0.36329588014981273,6,7,150,7,97,PILAR,ESCUELA EP N°29/ES N°34,44.85714285714285,55.14285714285714,21.958456973293767,22.551928783382788,22.551928783382788,13.94658753709199,10.385756676557863,6.231454005934718,2.373887240356084,19.33701657458564,24.30939226519337,24.861878453038674,14.3646408839779,11.049723756906078,4.972375690607736,1.1049723756906076,25.0,20.51282051282051,19.871794871794872,13.461538461538463,9.615384615384617,7.6923076923076925,3.8461538461538463
1,2,0.04263565891472868,0.01937984496124031,0.5736434108527132,0.015503875968992248,0.3488372093023256,11,5,148,4,90,PILAR,ESCUELA EP N°29/ES N°34,51.42857142857142,48.57142857142857,27.89317507418398,24.03560830860534,22.848664688427302,8.605341246290802,9.792284866468842,4.747774480712167,2.0771513353115725,28.395061728395056,20.987654320987648,25.925925925925927,7.4074074074074066,9.25925925925926,6.172839506172839,1.851851851851852,27.42857142857143,26.857142857142854,20.0,9.714285714285714,10.285714285714283,3.428571428571429,2.2857142857142856
2,3,0.025735294117647058,0.01838235294117647,0.4411764705882353,0.025735294117647058,0.4889705882352941,7,5,120,7,133,PILAR,ESCUELA EP N°29/ES N°34,50.57142857142857,49.42857142857143,21.32132132132132,25.225225225225223,21.92192192192192,15.015015015015015,9.309309309309311,4.804804804804805,2.4024024024024024,17.177914110429448,27.607361963190183,23.31288343558282,17.177914110429448,9.202453987730062,4.9079754601227,0.6134969325153374,25.294117647058826,22.94117647058824,20.588235294117645,12.941176470588234,9.411764705882351,4.705882352941177,4.117647058823529
3,4,0.02867383512544803,0.014336917562724014,0.4731182795698925,0.021505376344086023,0.46236559139784944,8,4,132,6,129,PILAR,ESCUELA EP N°29/ES N°34,51.714285714285715,48.28571428571429,24.2603550295858,24.852071005917157,19.526627218934916,15.680473372781064,8.579881656804734,3.8461538461538463,3.2544378698224854,26.875,24.375,17.5,18.75,6.875000000000001,3.75,1.875,21.910112359550567,25.280898876404496,21.34831460674157,12.921348314606742,10.112359550561797,3.9325842696629216,4.49438202247191
4,5,0.025925925925925925,0.022222222222222223,0.5148148148148148,0.018518518518518517,0.4185185185185185,7,6,139,5,113,PILAR,ESCUELA EP N°29/ES N°34,49.14285714285714,50.85714285714285,24.77341389728097,23.564954682779454,20.543806646525677,14.803625377643506,7.250755287009064,6.042296072507553,3.0211480362537766,28.22085889570552,24.539877300613494,20.858895705521476,12.269938650306747,6.7484662576687136,5.521472392638037,1.8404907975460123,21.428571428571427,22.619047619047624,20.238095238095237,17.261904761904766,7.738095238095237,6.547619047619048,4.166666666666666
5,6,0.039285714285714285,0.017857142857142856,0.4642857142857143,0.02142857142857143,0.45714285714285713,11,5,130,6,128,PILAR,ESCUELA EP N°29/ES N°34,53.42857142857142,46.57142857142857,26.72672672672673,25.82582582582583,17.417417417417415,13.513513513513516,7.207207207207206,3.603603603603604,5.7057057057057055,24.503311258278146,27.81456953642384,18.54304635761589,15.894039735099339,5.960264900662253,2.6490066225165565,4.635761589403972,28.57142857142857,24.17582417582417,16.483516483516482,11.538461538461537,8.241758241758241,4.395604395604397,6.593406593406594
6,7,0.028469750889679714,0.028469750889679714,0.45907473309608543,0.017793594306049824,0.46619217081850534,8,8,129,5,131,PILAR,ESCUELA EP N°29/ES N°34,49.714285714285715,50.28571428571429,28.27380952380952,25.29761904761905,16.36904761904762,13.98809523809524,6.25,6.547619047619048,3.273809523809524,23.31288343558282,25.153374233128833,19.018404907975462,14.11042944785276,7.361963190184048,7.975460122699388,3.0674846625766867,32.947976878612714,25.433526011560694,13.872832369942195,13.872832369942195,5.202312138728324,5.202312138728324,3.4682080924855487
7,8,0.0449438202247191,0.0149812734082397,0.5205992509363296,0.0,0.41947565543071164,12,4,139,0,112,PILAR,ESCUELA EP N°29/ES N°34,54.0,46.0,21.72619047619048,26.48809523809524,19.345238095238095,13.392857142857142,9.226190476190476,6.25,3.571428571428571,20.805369127516784,22.81879194630873,23.48993288590604,14.76510067114094,10.06711409395973,5.369127516778524,2.684563758389262,22.459893048128343,29.411764705882355,16.042780748663098,12.299465240641712,8.55614973262032,6.951871657754011,4.27807486631016
8,9,0.0196078431372549,0.03137254901960784,0.43529411764705883,0.023529411764705882,0.49019607843137253,5,8,111,6,125,MANZONE,COLEGIO N.SRA.DE LA PAZ(EP/ES),44.28571428571429,55.714285714285715,21.92192192192192,18.31831831831832,19.81981981981982,16.816816816816818,9.90990990990991,6.906906906906906,6.306306306306306,20.994475138121548,22.099447513812155,20.994475138121548,14.917127071823206,8.839779005524859,7.18232044198895,4.972375690607736,23.02631578947368,13.815789473684212,18.421052631578945,19.07894736842105,11.18421052631579,6.578947368421053,7.894736842105262
9,10,0.058394160583941604,0.025547445255474453,0.48175182481751827,0.0036496350364963502,0.4306569343065693,16,7,132,1,118,MANZONE,COLEGIO N.SRA.DE LA PAZ(EP/ES),44.57142857142857,55.42857142857143,27.244582043343648,26.93498452012384,21.36222910216718,9.287925696594428,8.049535603715169,4.3343653250774,2.786377708978328,28.823529411764703,27.64705882352941,17.647058823529417,8.823529411764708,8.823529411764708,4.117647058823529,4.117647058823529,25.490196078431374,26.14379084967321,25.490196078431374,9.803921568627453,7.189542483660129,4.575163398692809,1.30718954248366
10,11,0.046875,0.046875,0.4296875,0.0078125,0.46875,12,12,110,2,120,MANZONE,COLEGIO N.SRA.DE LA PAZ(EP/ES),50.0,50.0,24.624624624624623,26.72672672672673,17.71771771771772,13.213213213213212,8.108108108108109,6.606606606606606,3.003003003003003,25.925925925925927,25.925925925925927,16.049382716049386,14.814814814814813,6.790123456790122,9.25925925925926,1.2345679012345678,23.391812865497073,27.485380116959067,19.298245614035086,11.695906432748535,9.35672514619883,4.093567251461988,4.678362573099415
11,12,0.05904059040590406,0.033210332103321034,0.43911439114391143,0.03690036900369004,0.4317343173431734,16,9,119,10,117,MANZONE,COLEGIO N.SRA.DE LA PAZ(EP/ES),50.28571428571429,49.714285714285715,20.48192771084337,22.891566265060238,20.48192771084337,16.265060240963855,10.542168674698797,6.626506024096386,2.710843373493976,19.87577639751553,19.87577639751553,21.118012422360252,17.391304347826086,9.937888198757765,9.316770186335404,2.4844720496894412,21.052631578947366,25.730994152046787,19.883040935672515,15.204678362573096,11.111111111111109,4.093567251461988,2.9239766081871337
12,13,0.027131782945736434,0.031007751937984496,0.43410852713178294,0.003875968992248062,0.5038759689922481,7,8,112,1,130,MANZONE,COLEGIO N.SRA.DE LA PAZ(EP/ES),53.42857142857142,46.57142857142857,21.364985163204746,23.14540059347181,15.430267062314538,19.881305637982198,8.902077151335313,7.4183976261127595,3.8575667655786345,19.07894736842105,24.342105263157894,13.815789473684212,22.36842105263158,9.210526315789473,8.552631578947368,2.631578947368421,23.24324324324325,22.162162162162165,16.756756756756758,17.83783783783784,8.648648648648651,6.486486486486488,4.864864864864865
13,14,0.04059040590405904,0.01107011070110701,0.3985239852398524,0.033210332103321034,0.5166051660516605,11,3,108,9,140,MANZONE,COLEGIO N.SRA.DE LA PAZ(EP/ES),50.85714285714285,49.14285714285714,26.099706744868037,19.64809384164223,21.407624633431087,11.436950146627565,8.797653958944284,8.21114369501466,4.398826979472142,26.66666666666667,15.757575757575754,24.24242424242424,9.696969696969695,9.090909090909092,9.090909090909092,5.454545454545454,25.568181818181817,23.295454545454547,18.75,13.068181818181818,8.522727272727273,7.386363636363638,3.4090909090909087
14,15,0.05058365758754864,0.023346303501945526,0.45525291828793774,0.027237354085603113,0.44357976653696496,13,6,117,7,114,MANZONE,COLEGIO N.SRA.DE LA PAZ(EP/ES),53.14285714285714,46.85714285714286,23.547400611620798,26.299694189602448,19.877675840978593,13.761467889908257,9.174311926605503,5.504587155963304,1.834862385321101,20.833333333333336,28.472222222222218,18.055555555555557,14.583333333333336,9.027777777777775,8.333333333333332,0.6944444444444444,25.683060109289613,24.590163934426233,21.311475409836067,13.114754098360656,9.289617486338797,3.278688524590164,2.7322404371584703
