,mesa,1PAIS,CAMBIEMOS BUENOS AIRES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,SUMEMOS PILAR,UNIDAD CIUDADANA,1PAIS cant,CAMBIEMOS BUENOS AIRES cant,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES cant,FRENTE JUSTICIALISTA cant,SUMEMOS PILAR cant,UNIDAD CIUDADANA cant,localidad,school,18-25,25-35,35-45,45-55,55-65,65-75,>75
0,1,0.09230769230769231,0.35384615384615387,0.026923076923076925,0.026923076923076925,0.05,0.45,24,92,7,7,13,117,Pilar,ESCUELA EP N°29/ES N°34,20.648967551622423,25.368731563421825,22.418879056047203,12.09439528023599,9.734513274336283,7.66961651917404,2.0648967551622417
1,2,0.1220472440944882,0.3661417322834646,0.08661417322834646,0.06299212598425197,0.031496062992125984,0.33070866141732286,31,93,22,16,8,84,Pilar,ESCUELA EP N°29/ES N°34,22.87390029325513,23.75366568914956,19.941348973607038,14.07624633431085,10.850439882697945,5.571847507331379,2.9325513196480935
2,3,0.11494252873563218,0.36398467432950193,0.034482758620689655,0.02681992337164751,0.0421455938697318,0.41762452107279696,30,95,9,7,11,109,Pilar,ESCUELA EP N°29/ES N°34,23.07692307692308,22.485207100591715,22.189349112426036,13.313609467455624,10.650887573964498,5.029585798816568,3.2544378698224854
3,4,0.10980392156862745,0.403921568627451,0.027450980392156862,0.03137254901960784,0.043137254901960784,0.3843137254901961,28,103,7,8,11,98,Pilar,ESCUELA EP N°29/ES N°34,25.0,24.404761904761905,22.02380952380952,10.119047619047619,10.416666666666668,5.357142857142857,2.6785714285714284
4,5,0.11297071129707113,0.4351464435146444,0.029288702928870293,0.0502092050209205,0.04184100418410042,0.3305439330543933,27,104,7,12,10,79,Pilar,ESCUELA EP N°29/ES N°34,24.411764705882355,20.294117647058822,21.47058823529412,11.176470588235297,13.235294117647062,7.352941176470589,2.0588235294117645
5,6,0.11965811965811966,0.3717948717948718,0.04700854700854701,0.04700854700854701,0.029914529914529916,0.38461538461538464,28,87,11,11,7,90,Pilar,ESCUELA EP N°29/ES N°34,27.27272727272727,26.68621700879765,20.527859237536656,10.557184750733137,7.038123167155425,5.865102639296187,2.0527859237536656
6,7,0.07377049180327869,0.45901639344262296,0.036885245901639344,0.045081967213114756,0.040983606557377046,0.3442622950819672,18,112,9,11,10,84,Pilar,ESCUELA EP N°29/ES N°34,26.33136094674556,22.189349112426036,21.005917159763317,13.905325443786984,8.875739644970414,4.733727810650888,2.9585798816568047
7,8,0.0851063829787234,0.4595744680851064,0.03404255319148936,0.02127659574468085,0.05106382978723404,0.34893617021276596,20,108,8,5,12,82,Pilar,ESCUELA EP N°29/ES N°34,22.839506172839503,28.086419753086425,20.061728395061728,13.271604938271606,8.641975308641975,3.08641975308642,4.012345679012347
8,9,0.07604562737642585,0.4448669201520912,0.053231939163498096,0.053231939163498096,0.04182509505703422,0.33079847908745247,20,117,14,14,11,87,Pilar,ESCUELA EP N°18,18.12688821752266,25.37764350453172,22.054380664652566,16.61631419939577,11.178247734138973,5.740181268882174,0.906344410876133
9,10,0.08518518518518518,0.44814814814814813,0.037037037037037035,0.04814814814814815,0.044444444444444446,0.337037037037037,23,121,10,13,12,91,Pilar,ESCUELA EP N°18,21.47058823529412,22.64705882352941,21.47058823529412,14.117647058823529,7.0588235294117645,7.0588235294117645,6.1764705882352935
10,11,0.11538461538461539,0.40384615384615385,0.04230769230769231,0.023076923076923078,0.057692307692307696,0.3576923076923077,30,105,11,6,15,93,Pilar,ESCUELA EP N°18,21.53392330383481,24.48377581120944,20.35398230088496,12.389380530973453,13.274336283185846,4.424778761061948,3.5398230088495577
11,12,0.10077519379844961,0.3953488372093023,0.03488372093023256,0.046511627906976744,0.027131782945736434,0.3953488372093023,26,102,9,12,7,102,Pilar,ESCUELA EP N°18,26.176470588235297,23.823529411764703,19.411764705882355,13.235294117647062,10.0,4.411764705882354,2.9411764705882346
12,13,0.09433962264150944,0.39245283018867927,0.04150943396226415,0.04150943396226415,0.03018867924528302,0.4,25,104,11,11,8,106,Pilar,ESCUELA EP N°18,24.18879056047198,21.238938053097343,18.87905604719764,15.929203539823007,9.144542772861355,6.489675516224189,4.1297935103244825
13,14,0.07942238267148015,0.48014440433212996,0.02888086642599278,0.021660649819494584,0.036101083032490974,0.35379061371841153,22,133,8,6,10,98,Pilar,ESCUELA EP N°18,22.089552238805965,22.388059701492534,22.388059701492534,12.835820895522387,11.343283582089553,5.3731343283582085,3.582089552238806
